序号,词语,词性,词性解释,是否标点,是否空格,是否数字,词长
1,昔者,PROPN,专有名词,False,False,False,2
2,庄周,PROPN,专有名词,False,False,False,2
3,梦为,VERB,动词,False,False,False,2
4,胡蝶,PROPN,专有名词,False,False,False,2
5,，,PUNCT,标点,True,False,False,1
6,栩栩然,NOUN,名词,False,False,False,3
7,胡蝶,PROPN,专有名词,False,False,False,2
8,也,PART,助词,False,False,False,1
9,，,PUNCT,标点,True,False,False,1
10,自喻适志,NOUN,名词,False,False,False,4
11,与,PART,助词,False,False,False,1
12,！,PUNCT,标点,True,False,False,1
13,不知,VERB,动词,False,False,False,2
14,周,PROPN,专有名词,False,False,False,1
15,也,PART,助词,False,False,False,1
16,。,PUNCT,标点,True,False,False,1
17,俄然觉,NOUN,名词,False,False,False,3
18,，,PUNCT,标点,True,False,False,1
19,则,ADV,副词,False,False,False,1
20,蘧蘧然,NOUN,名词,False,False,False,3
21,周,PROPN,专有名词,False,False,False,1
22,也,PART,助词,False,False,False,1
23,。,PUNCT,标点,True,False,False,1
24,不知,VERB,动词,False,False,False,2
25,周之,PROPN,专有名词,False,False,False,2
26,梦为,VERB,动词,False,False,False,2
27,胡蝶,PROPN,专有名词,False,False,False,2
28,与,PART,助词,False,False,False,1
29,，,PUNCT,标点,True,False,False,1
30,胡蝶,PROPN,专有名词,False,False,False,2
31,之,PART,助词,False,False,False,1
32,梦为,VERB,动词,False,False,False,2
33,周,PROPN,专有名词,False,False,False,1
34,与,PART,助词,False,False,False,1
35,？,PUNCT,标点,True,False,False,1
36,周,PROPN,专有名词,False,False,False,1
37,与,PART,助词,False,False,False,1
38,胡蝶,PROPN,专有名词,False,False,False,2
39,，,PUNCT,标点,True,False,False,1
40,则,ADV,副词,False,False,False,1
41,必有,NOUN,名词,False,False,False,2
42,分,NUM,数词,False,False,False,1
43,矣,PART,助词,False,False,False,1
44,。,PUNCT,标点,True,False,False,1
45,此之谓,NOUN,名词,False,False,False,3
46,物化,NOUN,名词,False,False,False,2
47,。,PUNCT,标点,True,False,False,1
48,孔子,PROPN,专有名词,False,False,False,2
49,东游,VERB,动词,False,False,False,2
50,，,PUNCT,标点,True,False,False,1
51,见,VERB,动词,False,False,False,1
52,两小儿,NOUN,名词,False,False,False,3
53,辩斗,VERB,动词,False,False,False,2
54,，,PUNCT,标点,True,False,False,1
55,问其,NOUN,名词,False,False,False,2
56,故,CCONJ,连词,False,False,False,1
57,。,PUNCT,标点,True,False,False,1
58,一儿,NUM,数词,False,False,False,2
59,曰,VERB,动词,False,False,False,1
60,：,PUNCT,标点,True,False,False,1
61,我以,NOUN,名词,False,False,False,2
62,日始出,NOUN,名词,False,False,False,3
63,时去,NOUN,名词,False,False,False,2
64,人近,NOUN,名词,False,False,False,2
65,，,PUNCT,标点,True,False,False,1
66,而,CCONJ,连词,False,False,False,1
67,日中,NOUN,名词,False,False,False,2
68,时远,ADV,副词,False,False,False,2
69,也,PART,助词,False,False,False,1
70,。,PUNCT,标点,True,False,False,1
71,一儿,NUM,数词,False,False,False,2
72,以,ADP,介词,False,False,False,1
73,日初出,NOUN,名词,False,False,False,3
74,远,ADJ,形容词,False,False,False,1
75,，,PUNCT,标点,True,False,False,1
76,而,CCONJ,连词,False,False,False,1
77,日中,NOUN,名词,False,False,False,2
78,时近,NOUN,名词,False,False,False,2
79,也,PART,助词,False,False,False,1
80,。,PUNCT,标点,True,False,False,1
81,一儿,NUM,数词,False,False,False,2
82,曰,VERB,动词,False,False,False,1
83,：,PUNCT,标点,True,False,False,1
84,日初出,NOUN,名词,False,False,False,3
85,大如,NOUN,名词,False,False,False,2
86,车盖,NOUN,名词,False,False,False,2
87,，,PUNCT,标点,True,False,False,1
88,及,CCONJ,连词,False,False,False,1
89,日中,NOUN,名词,False,False,False,2
90,则,ADV,副词,False,False,False,1
91,如,VERB,动词,False,False,False,1
92,盘盂,NOUN,名词,False,False,False,2
93,，,PUNCT,标点,True,False,False,1
94,此不为,PROPN,专有名词,False,False,False,3
95,远者,NOUN,名词,False,False,False,2
96,小,ADJ,形容词,False,False,False,1
97,而,CCONJ,连词,False,False,False,1
98,近者,NOUN,名词,False,False,False,2
99,大乎,ADV,副词,False,False,False,2
100,？,PUNCT,标点,True,False,False,1
101,一儿,NUM,数词,False,False,False,2
102,曰,VERB,动词,False,False,False,1
103,：,PUNCT,标点,True,False,False,1
104,日初出,NOUN,名词,False,False,False,3
105,沧沧凉凉,NOUN,名词,False,False,False,4
106,，,PUNCT,标点,True,False,False,1
107,及其,CCONJ,连词,False,False,False,2
108,日中,NOUN,名词,False,False,False,2
109,如,VERB,动词,False,False,False,1
110,探汤,VERB,动词,False,False,False,2
111,，,PUNCT,标点,True,False,False,1
112,此不为,PROPN,专有名词,False,False,False,3
113,近者,NOUN,名词,False,False,False,2
114,热,ADJ,形容词,False,False,False,1
115,而,CCONJ,连词,False,False,False,1
116,远者,NOUN,名词,False,False,False,2
117,凉乎,NOUN,名词,False,False,False,2
118,？,PUNCT,标点,True,False,False,1
